year,month,column,availability
2025,1,Time,100.0
2025,1,foF2,97.3769756753727
2025,1,foF1,1.2218361170272418
2025,1,MUFD,97.29850913574711
2025,1,fmin,97.3769756753727
2025,1,foEs,8.328662705974665
2025,1,fminF,97.3769756753727
2025,1,fminE,9.1917946418563
2025,1,foE,9.1917946418563
2025,1,fxI,97.16399506781751
2025,1,FF,96.7940813810111
2025,1,FE,0.0
2025,1,foF2p,100.0
2025,1,minEs,8.328662705974665
2025,1,foEa,0.0
2025,1,foP,0.0
2025,1,fbEs,2.2082726151776755
2025,1,hF,97.3769756753727
2025,1,hF2,97.3769756753727
2025,1,hE,9.169375630534693
2025,1,hEs,8.328662705974665
2025,1,hmE,97.35455666405112
2025,1,yE,97.35455666405112
2025,1,QF,0.044838022643201025
2025,1,QE,0.0
2025,1,hmF2,95.50498823001907
2025,1,hmF1,1.1433695774016317
2025,1,halfNm,95.50498823001907
2025,1,yF2,95.50498823001907
2025,1,yF1,1.1209505660800367
2025,1,caleF2,95.50498823001907
2025,1,B0,95.50498823001907
2025,1,hEa,0.0
2025,1,hP,0.0
2025,1,TEC,95.50498823001907
2025,1,MD,97.29850913574711
2025,1,B1,95.50498823001907
2025,1,D1,1.0088555094720286
2025,1,peEs,0.0
2025,2,Time,100.0
2025,2,foF2,99.1160358565737
2025,2,foF1,1.0209163346613592
2025,2,MUFD,99.1160358565737
2025,2,fmin,99.1160358565737
2025,2,foEs,10.607569721115539
2025,2,fminF,99.1160358565737
2025,2,fminE,12.201195219123505
2025,2,foE,12.201195219123505
2025,2,fxI,98.9168326693227
2025,2,FF,98.16982071713147
2025,2,FE,0.0
2025,2,foF2p,100.0
2025,2,minEs,10.607569721115539
2025,2,foEa,0.0
2025,2,foP,0.0
2025,2,fbEs,2.614541832669326
2025,2,hF,99.1160358565737
2025,2,hF2,99.1160358565737
2025,2,hE,12.176294820717127
2025,2,hEs,10.607569721115539
2025,2,hmE,99.07868525896414
2025,2,yE,99.07868525896414
2025,2,QF,0.012450199203184464
2025,2,QE,0.0
2025,2,hmF2,97.32320717131473
2025,2,hmF1,0.9462151394422302
2025,2,halfNm,97.32320717131473
2025,2,yF2,97.32320717131473
2025,2,yF1,0.9088645418326657
2025,2,caleF2,97.32320717131473
2025,2,B0,97.32320717131473
2025,2,hEa,0.0
2025,2,hP,0.0
2025,2,TEC,97.32320717131473
2025,2,MD,99.1160358565737
2025,2,B1,97.32320717131473
2025,2,D1,0.8964143426294813
2025,2,peEs,0.0
2025,3,Time,100.0
2025,3,foF2,98.91919064974236
2025,3,foF1,1.307025260776673
2025,3,MUFD,98.89405554857358
2025,3,fmin,98.91919064974236
2025,3,foEs,15.709438230488882
2025,3,fminF,98.91919064974236
2025,3,fminE,20.15835113736333
2025,3,foE,20.15835113736333
2025,3,fxI,98.69297473922333
2025,3,FF,97.29797662435591
2025,3,FE,0.0
2025,3,foF2p,100.0
2025,3,minEs,15.709438230488882
2025,3,foEa,0.0
2025,3,foP,0.0
2025,3,fbEs,2.337564408696746
2025,3,hF,98.91919064974236
2025,3,hF2,98.91919064974236
2025,3,hE,20.10808093502576
2025,3,hEs,15.709438230488882
2025,3,hmE,98.91919064974236
2025,3,yE,98.91919064974236
2025,3,QF,0.025135101168782814
2025,3,QE,0.0
2025,3,hmF2,96.93351765740857
2025,3,hmF1,1.2818901596078902
2025,3,halfNm,96.93351765740857
2025,3,yF2,96.92095010682418
2025,3,yF1,1.2693226090235044
2025,3,caleF2,96.93351765740857
2025,3,B0,96.92095010682418
2025,3,hEa,0.0
2025,3,hP,0.0
2025,3,TEC,96.93351765740857
2025,3,MD,98.89405554857358
2025,3,B1,96.93351765740857
2025,3,D1,1.168782204348373
2025,3,peEs,0.0
